time,count
1420,2521
1421,2490
1422,2376
1423,2434
1424,2320
1425,2482
1426,2341
1427,2390
1428,2398
1429,2336
1430,2511
1431,2476
1432,2425
1433,2286
1434,2381
1435,2476
1436,2325
1437,2400
1438,2359
1439,2328
1440,2428
1441,2351
1442,2396
1443,2305
1444,2306
1445,2500
1446,2331
1447,2324
1448,2408
1449,2230
1450,2561
1451,2394
1452,2418
1453,2313
1454,2344
1455,2396
1456,2333
1457,2356
1458,2412
1459,2347
1500,2551
1501,2462
1502,2416
1503,2429
1504,2427
1505,2745
1506,2611
1507,2692
1508,2621
1509,2683
1510,2841
1511,2673
1512,2630
1513,2648
1514,2602
1515,2821
1516,2675
1517,2778
1518,2731
1519,2728
1520,2850
1521,2754
1522,2771
1523,2747
1524,2769
1525,2878
1526,2691
1527,2646
1528,2661
1529,2718
1530,2889
1531,2679
1532,2748
1533,2826
1534,2735
1535,4087
1536,3786
1537,3471
1538,3635
1539,3344
1540,3505
1541,3287
1542,3117
1543,3009
1544,2989
1545,2960
1546,2913
1547,2877
1548,2871
1549,2941
1550,2849
1551,2741
1552,2731
1553,2726
1554,2732
1555,2704
1556,2534
1557,2500
1558,2549
1559,2371
1600,2636
1601,2399
1602,2409
1603,2304
1604,2445
1605,5297
1606,4442
1607,4567
1608,4116
1609,4056
1610,4095
1611,3690
1612,3618
1613,3531
1614,3360
1615,3454
1616,3237
1617,3113
1618,3112
1619,2846
1620,3122
1621,2962
1622,2898
1623,2873
1624,2744
1625,2897
1626,2725
1627,2686
1628,2635
1629,2583
1630,2696
1631,2589
1632,2484
1633,2574
1634,2467
1635,2547
1636,2391
1637,2370
1638,2421
1639,2406
1640,2468
1641,2367
1642,2247
1643,2281
1644,2269
1645,2256
1646,2218
1647,2233
1648,2263
1649,2224
1650,2441
1651,2163
1652,2188
1653,2163
1654,2174
1655,2255
1656,2189
1657,2058
1658,2146
1659,2152
1700,2293
1701,2247
1702,2107
1703,2167
1704,2044
1705,2292
1706,2182
1707,2045
1708,2138
1709,2087
1710,2210
1711,2054
1712,2023
1713,2024
1714,1984
1715,2118
1716,1973
1717,2005
1718,1977
1719,2065
1720,2090
1721,1989
1722,1975
1723,1974
1724,1976
1725,2019
1726,1978
1727,1905
1728,1941
1729,1973
1730,2096
1731,1983
1732,1990
1733,1968
1734,1945
1735,2083
1736,1933
1737,1997
1738,1963
1739,2018
1740,1995
1741,1969
1742,2012
1743,1952
1744,2095
1745,1993
1746,2000
1747,2022
1748,2037
1749,1905
1750,1943
1751,1926
1752,1822
1753,1737
1754,1746
1755,1783
1756,1573
1757,1465
1758,1387
1759,1412
1800,1462
1801,1373
1802,1411
1803,1363
1804,1396
1805,1615
1806,1571
1807,1578
1808,1475
1809,1505
1810,1649
1811,1502
1812,1522
1813,1450
1814,1441
1815,1512
1816,1430
1817,1492
1818,1476
1819,1343
1820,1558
1821,1406
1822,1387
1823,1576
1824,1508
1825,1499
1826,1483
1827,1475
1828,1453
1829,1363
1830,1633
1831,1533
1832,1516
1833,1647
1834,1451
1835,1656
1836,1649
1837,1586
1838,1564
1839,1541
1840,1681
1841,1656
1842,1612
1843,1598
1844,1636
1845,1715
1846,1614
1847,1674
1848,1613
1849,1615
1850,1666
1851,1669
1852,1666
1853,1613
1854,1694
1855,1759
1856,1660
1857,1709
1858,1615
1859,1715
1900,1754
1901,1734
1902,1739
1903,1677
1904,1738
1905,2108
1906,1973
1907,2071
1908,2002
1909,1998
1910,2128
1911,2052
1912,1973
1913,1991
1914,1959
1915,2013
1916,1970
1917,2000
1918,2054
1919,1950
1920,2067
1921,2026
1922,1959
1923,2040
1924,2031
1925,2091
1926,2075
1927,1964
1928,1980
1929,2060
1930,2214
1931,1996
1932,2015
1933,2021
1934,2169
1935,2150
1936,2087
1937,2106
1938,2149
1939,2022
1940,2221
1941,2106
1942,2046
1943,2161
1944,2144
1945,2194
1946,2167
1947,2120
1948,2131
1949,2157
1950,2280
1951,2157
1952,2147
1953,2134
1954,2150
1955,2240
1956,2165
1957,2073
1958,2183
1959,2110
2000,2258
2001,2238
2002,2220
2003,2247
2004,2293
2005,2379
2006,2290
2007,2306
2008,2312
2009,2255
2010,2442
2011,2253
2012,2244
2013,2241
2014,2289
2015,2400
2016,2370
2017,2281
2018,2379
2019,2345
2020,2429
2021,2263
2022,2414
2023,2359
2024,2340
2025,2445
2026,2277
2027,2342
2028,2341
2029,2346
2030,2485
2031,2388
2032,2405
2033,2359
2034,2465
2035,2414
2036,2385
2037,2477
2038,2416
2039,2441
2040,2553
2041,2349
2042,2423
2043,2395
2044,2349
2045,2559
2046,2416
2047,2390
2048,2342
2049,2208
2050,2420
2051,2120
2052,2020
2053,1978
2054,1825
2055,1593
2056,1234
2057,1089
2058,1040
2059,1050
2100,1169
2101,1126
2102,1127
2103,1087
2104,1133
2105,1289
2106,1166
2107,1187
2108,1129
2109,1151
2110,1217
2111,1099
2112,1153
2113,1115
2114,1149
2115,1250
2116,1111
2117,1113
2118,1101
2119,1117
2120,1187
2121,1110
2122,1141
2123,1143
2124,1066
2125,1100
2126,1124
2127,1035
2128,1053
2129,1080
2130,1108
2131,1035
2132,1037
2133,1022
2134,986
2135,1016
2136,1002
2137,955
2138,1014
2139,939
2140,1055
2141,985
2142,965
2143,917
2144,910
2145,941
2146,870
2147,888
2148,885
2149,878
2150,956
2151,838
2152,824
2153,780
2154,832
2155,800
2156,761
2157,734
2158,670
2159,730
2200,851
2201,763
2202,763
2203,764
2204,837
2205,1443
2206,1440
2207,1390
2208,1359
2209,1254
2210,1207
2211,1064
2212,1036
2213,933
2214,972
2215,947
2216,814
2217,770
2218,775
2219,644
2220,729
2221,670
2222,646
2223,571
2224,579
2225,615
2226,566
2227,526
2228,503
2229,501
2230,595
2231,499
2232,491
2233,463
2234,455
2235,501
2236,460
2237,461
2238,470
2239,457
2240,517
2241,464
2242,451
2243,479
2244,466
2245,495
2246,490
2247,462
2248,452
2249,473
2250,508
2251,480
2252,477
2253,424
2254,469
2255,491
2256,514
2257,481
2258,466
2259,445
2300,592
2301,491
2302,534
2303,492
2304,515
2305,591
2306,519
2307,501
2308,519
2309,524
2310,595
2311,507
2312,595
2313,554
2314,563
2315,623
2316,580
2317,568
2318,566
2319,575
2320,665
2321,587
2322,606
2323,544
2324,572
2325,628
2326,591
2327,594
2328,567
2329,559
2330,656
2331,665
2332,623
2333,634
2334,667
2335,708
2336,703
2337,643
2338,692
2339,728
2340,782
2341,734
2342,799
2343,704
2344,762
2345,827
2346,801
2347,829
2348,825
2349,767
2350,856
2351,758
2352,747
2353,757
2354,701
2355,746
2356,703
2357,619
2358,647
2359,617
